"Election Name","County Name","Office Name","District Name","Party Name","Candidate Name","Votes","Yes Votes","No Votes","Election Day Votes","ElectionDay Yes Votes","Election Day No Votes","Mail Votes","Mail Yes Votes","Mail No Votes","Provisional Votes","Provisional Yes Votes","Provisional No Votes"
"2012 General Election","ADAMS","Auditor General","StateWide","Republican","","25,650","0","0","","","","","","","","",""
"2012 General Election","ADAMS","Auditor General","StateWide","Democratic","","13,290","0","0","","","","","","","","",""
"2012 General Election","ADAMS","Auditor General","StateWide","Libertarian","","2,308","0","0","","","","","","","","",""
"2012 General Election","ADAMS","State Treasurer","StateWide","Republican","","24,503","0","0","","","","","","","","",""
"2012 General Election","ADAMS","State Treasurer","StateWide","Democratic","","14,451","0","0","","","","","","","","",""
"2012 General Election","ADAMS","State Treasurer","StateWide","Libertarian","","2,197","0","0","","","","","","","","",""
"2012 General Election","ALLEGHENY","Auditor General","StateWide","Republican","","239,415","0","0","","","","","","","","",""
"2012 General Election","ALLEGHENY","Auditor General","StateWide","Democratic","","337,094","0","0","","","","","","","","",""
"2012 General Election","ALLEGHENY","Auditor General","StateWide","Libertarian","","24,067","0","0","","","","","","","","",""
"2012 General Election","ALLEGHENY","State Treasurer","StateWide","Republican","","221,408","0","0","","","","","","","","",""
"2012 General Election","ALLEGHENY","State Treasurer","StateWide","Democratic","","347,735","0","0","","","","","","","","",""
"2012 General Election","ALLEGHENY","State Treasurer","StateWide","Libertarian","","25,300","0","0","","","","","","","","",""
"2012 General Election","ARMSTRONG","Auditor General","StateWide","Republican","","17,632","0","0","","","","","","","","",""
"2012 General Election","ARMSTRONG","Auditor General","StateWide","Democratic","","9,671","0","0","","","","","","","","",""
"2012 General Election","ARMSTRONG","Auditor General","StateWide","Libertarian","","1,510","0","0","","","","","","","","",""
"2012 General Election","ARMSTRONG","State Treasurer","StateWide","Republican","","16,439","0","0","","","","","","","","",""
"2012 General Election","ARMSTRONG","State Treasurer","StateWide","Democratic","","10,620","0","0","","","","","","","","",""
"2012 General Election","ARMSTRONG","State Treasurer","StateWide","Libertarian","","1,515","0","0","","","","","","","","",""
"2012 General Election","BEAVER","Auditor General","StateWide","Republican","","36,693","0","0","","","","","","","","",""
"2012 General Election","BEAVER","Auditor General","StateWide","Democratic","","38,112","0","0","","","","","","","","",""
"2012 General Election","BEAVER","Auditor General","StateWide","Libertarian","","3,772","0","0","","","","","","","","",""
"2012 General Election","BEAVER","State Treasurer","StateWide","Republican","","35,167","0","0","","","","","","","","",""
"2012 General Election","BEAVER","State Treasurer","StateWide","Democratic","","39,294","0","0","","","","","","","","",""
"2012 General Election","BEAVER","State Treasurer","StateWide","Libertarian","","3,564","0","0","","","","","","","","",""
"2012 General Election","BEDFORD","Auditor General","StateWide","Republican","","15,137","0","0","","","","","","","","",""
"2012 General Election","BEDFORD","Auditor General","StateWide","Democratic","","4,813","0","0","","","","","","","","",""
"2012 General Election","BEDFORD","Auditor General","StateWide","Libertarian","","1,149","0","0","","","","","","","","",""
"2012 General Election","BEDFORD","State Treasurer","StateWide","Republican","","14,460","0","0","","","","","","","","",""
"2012 General Election","BEDFORD","State Treasurer","StateWide","Democratic","","5,726","0","0","","","","","","","","",""
"2012 General Election","BEDFORD","State Treasurer","StateWide","Libertarian","","893","0","0","","","","","","","","",""
"2012 General Election","BERKS","Auditor General","StateWide","Republican","","83,968","0","0","","","","","","","","",""
"2012 General Election","BERKS","Auditor General","StateWide","Democratic","","70,192","0","0","","","","","","","","",""
"2012 General Election","BERKS","Auditor General","StateWide","Libertarian","","6,062","0","0","","","","","","","","",""
"2012 General Election","BERKS","State Treasurer","StateWide","Republican","","77,255","0","0","","","","","","","","",""
"2012 General Election","BERKS","State Treasurer","StateWide","Democratic","","77,506","0","0","","","","","","","","",""
"2012 General Election","BERKS","State Treasurer","StateWide","Libertarian","","5,171","0","0","","","","","","","","",""
"2012 General Election","BLAIR","Auditor General","StateWide","Republican","","31,492","0","0","","","","","","","","",""
"2012 General Election","BLAIR","Auditor General","StateWide","Democratic","","15,522","0","0","","","","","","","","",""
"2012 General Election","BLAIR","Auditor General","StateWide","Libertarian","","2,570","0","0","","","","","","","","",""
"2012 General Election","BLAIR","State Treasurer","StateWide","Republican","","30,211","0","0","","","","","","","","",""
